,Idx,Open,High,Low,Close,Volume,Date
351,351,107.525,107.54,107.47,107.48,7508,2021-01-21 12:51:00-05:00
352,352,107.52,107.59,107.48,107.59,3395,2021-01-21 12:52:00-05:00
353,353,107.58,107.63,107.58,107.63,600,2021-01-21 12:53:00-05:00
354,354,107.63,107.71,107.615,107.71,7027,2021-01-21 12:54:00-05:00
355,355,107.74,107.74,107.69,107.69,2157,2021-01-21 12:55:00-05:00
356,356,107.69,107.69,107.6,107.63,2399,2021-01-21 12:56:00-05:00
357,357,107.64,107.65,107.53,107.53,3260,2021-01-21 12:57:00-05:00
358,358,107.52,107.555,107.48,107.49,920,2021-01-21 12:58:00-05:00
359,359,107.49,107.5,107.38,107.38,2743,2021-01-21 12:59:00-05:00
360,360,107.37,107.505,107.37,107.47,2987,2021-01-21 13:00:00-05:00
361,361,107.4921,107.4921,107.41,107.44,2589,2021-01-21 13:01:00-05:00
362,362,107.4,107.4,107.33,107.33,300,2021-01-21 13:02:00-05:00
363,363,107.2913,107.2913,107.25,107.29,2366,2021-01-21 13:03:00-05:00
364,364,107.3,107.3,107.25,107.3,2686,2021-01-21 13:04:00-05:00
365,365,107.3,107.39,107.3,107.39,2233,2021-01-21 13:05:00-05:00
366,366,107.38,107.38,107.34,107.34,1867,2021-01-21 13:06:00-05:00
367,367,107.37,107.37,107.21,107.22,1710,2021-01-21 13:07:00-05:00
368,368,107.24,107.3,107.23,107.29,2303,2021-01-21 13:08:00-05:00
369,369,107.32,107.34,107.26,107.275,2525,2021-01-21 13:09:00-05:00
370,370,107.25,107.27,107.24,107.24,3650,2021-01-21 13:10:00-05:00
371,371,107.23,107.25,107.14,107.17,2566,2021-01-21 13:11:00-05:00
372,372,107.14,107.18,107.13,107.13,3106,2021-01-21 13:12:00-05:00
373,373,107.14,107.17,107.12,107.15,3468,2021-01-21 13:13:00-05:00
374,374,107.15,107.18,107.0989,107.115,6863,2021-01-21 13:14:00-05:00
375,375,107.115,107.115,107.02,107.07,4973,2021-01-21 13:15:00-05:00
376,376,107.06,107.09,107.06,107.06,1500,2021-01-21 13:16:00-05:00
377,377,107.05,107.1,107.05,107.08,6548,2021-01-21 13:17:00-05:00
378,378,107.06,107.06,107.0,107.025,3530,2021-01-21 13:18:00-05:00
379,379,107.05,107.06,106.99,107.04,5755,2021-01-21 13:19:00-05:00
380,380,107.04,107.08,106.86,107.005,9788,2021-01-21 13:20:00-05:00
381,381,107.01,107.08,107.01,107.035,2939,2021-01-21 13:21:00-05:00
382,382,107.04,107.07,106.97,106.97,2515,2021-01-21 13:22:00-05:00
383,383,106.965,107.0649,106.93,107.03,3948,2021-01-21 13:23:00-05:00
384,384,107.06,107.11,107.06,107.08,1417,2021-01-21 13:24:00-05:00
385,385,107.06,107.06,106.91,106.97,1820,2021-01-21 13:25:00-05:00
386,386,106.95,106.98,106.94,106.97,6200,2021-01-21 13:26:00-05:00
387,387,106.95,106.96,106.91,106.96,5054,2021-01-21 13:27:00-05:00
388,388,106.96,107.02,106.95,106.99,2260,2021-01-21 13:28:00-05:00
389,389,106.99,106.99,106.9275,106.93,3670,2021-01-21 13:29:00-05:00
390,390,106.905,106.94,106.88,106.94,2826,2021-01-21 13:30:00-05:00
391,391,106.93,106.93,106.9,106.915,1065,2021-01-21 13:31:00-05:00
392,392,106.9,106.91,106.87,106.8978,2753,2021-01-21 13:32:00-05:00
393,393,106.92,106.98,106.9,106.975,5727,2021-01-21 13:33:00-05:00
394,394,106.96,106.98,106.86,106.92,218917,2021-01-21 13:34:00-05:00
395,395,106.93,107.06,106.93,107.05,5768,2021-01-21 13:35:00-05:00
396,396,107.07,107.16,107.07,107.155,4768,2021-01-21 13:36:00-05:00
397,397,107.16,107.2,107.13,107.13,1643,2021-01-21 13:37:00-05:00
398,398,107.13,107.16,107.1,107.16,3661,2021-01-21 13:38:00-05:00
399,399,107.175,107.23,107.15,107.189,1881,2021-01-21 13:39:00-05:00
400,400,107.14,107.145,107.08,107.11,3147,2021-01-21 13:40:00-05:00
401,401,107.1465,107.23,107.1465,107.225,4821,2021-01-21 13:41:00-05:00
402,402,107.23,107.4,107.23,107.33,3491,2021-01-21 13:42:00-05:00
403,403,107.33,107.38,107.31,107.36,4033,2021-01-21 13:43:00-05:00
404,404,107.365,107.49,107.365,107.47,7243,2021-01-21 13:44:00-05:00
405,405,107.48,107.51,107.46,107.49,4543,2021-01-21 13:45:00-05:00
406,406,107.51,107.59,107.465,107.48,10186,2021-01-21 13:46:00-05:00
407,407,107.505,107.51,107.43,107.43,4740,2021-01-21 13:47:00-05:00
408,408,107.435,107.53,107.435,107.53,27305,2021-01-21 13:48:00-05:00
409,409,107.54,107.58,107.53,107.57,26788,2021-01-21 13:49:00-05:00
410,410,107.63,107.72,107.59,107.6,4579,2021-01-21 13:50:00-05:00
411,411,107.62,107.76,107.62,107.76,1633,2021-01-21 13:51:00-05:00
412,412,107.75,107.84,107.74,107.84,1246,2021-01-21 13:52:00-05:00
413,413,107.81,107.81,107.77,107.7758,2920,2021-01-21 13:53:00-05:00
414,414,107.77,107.78,107.72,107.76,2917,2021-01-21 13:54:00-05:00
